Input File,Bruteforce,Backtracking,AStar,PySAT
input-01.txt,1363.2172,0.0170,0.0479,0.0011
input-02.txt,894.4088,0.0254,0.0647,0.0012
input-03.txt,,0.0751,0.1871,0.0017
input-04.txt,,0.0583,0.2810,0.0011
input-05.txt,,0.0722,0.1749,0.0019
