Input File,Islands,Variables,Clauses,Bruteforce Nodes,Backtracking Iterations,AStar Nodes,PySAT Iterations
input-01.txt,119,400,4721,,1,67,1
input-02.txt,130,440,5457,,1,77,1
input-03.txt,134,456,5870,,1,156,1
input-04.txt,143,492,6287,,1,2021,1
input-05.txt,149,516,6544,,1,395,1
