Input File,Islands,Variables,Clauses,Bruteforce Nodes,Backtracking Iters,AStar Nodes,PySAT
input-01.txt,100,332,3825,,,52,
input-02.txt,92,300,3471,,,43,
input-03.txt,98,324,3902,,,812,
input-04.txt,100,332,4092,,,887,
input-05.txt,99,328,4108,,,484,
