Input File,Islands,Variables,Clauses,Bruteforce Nodes,Backtracking Iters,AStar Nodes,PySAT
input-01.txt,25,64,579,,,5,
input-02.txt,24,66,666,,,6,
input-03.txt,28,78,827,,,18,
input-04.txt,28,78,855,,,30,
input-05.txt,32,92,998,,,17,
